"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2152712";"LY-3031207";"LY-3031207|LY3031207";"Small molecule";"1.0";"334.81";"9";"61";"2.98";"86.88";"3";"3";"0";"4";"N";"0.80";"11.17";"3.67";"2.98";"2.98";"2";"MOL";"0";"23";"6";"3";"0";"334.1197";"-1.70";"NEUTRAL";"C16H19ClN4O2";"CC(C)(C)C(=O)NCc1ccc(Cl)c(C(=O)Nc2ncc[nH]2)c1";"MBAHGUNQNAJTLD-UHFFFAOYSA-N"
"CHEMBL260402";"IODOMETOMIDATE I-123, R-";"(R)-4-(123I)IODOMETOMIDATE|123I-IODOMETOMIDATE|IODOMETOMIDATE I-123, R-";"Small molecule";"1.0";"356.16";"1";"6";"2.88";"44.12";"4";"0";"0";"3";"N";"0.63";"None";"4.25";"3.07";"3.07";"2";"MOL";"0";"18";"4";"0";"0";"356.0022";"-1.20";"NEUTRAL";"C13H13IN2O2";"COC(=O)c1cncn1[C@H](C)c1ccc(I)cc1";"KECBLXVYTIVCTG-SECBINFHSA-N"
"CHEMBL353972";"ATIPAMEZOLE";"4-(2-ETHYL-2-INDANYL)IMIDAZOLE.|ATIPAMEZOLE|Antisedan|MPV-1248";"Small molecule";"1.0";"212.30";"13";"30";"2.86";"28.68";"1";"1";"0";"2";"Y";"0.81";"None";"6.57";"3.41";"3.36";"2";"MOL";"0";"16";"2";"1";"0";"212.1313";"0.01";"NEUTRAL";"C14H16N2";"CCC1(c2c[nH]cn2)Cc2ccccc2C1";"HSWPZIDYAHLZDD-UHFFFAOYSA-N"
"CHEMBL4297476";"PF-06260414";"PF-06260414";"Small molecule";"1.0";"302.36";"";"";"1.40";"86.09";"4";"1";"0";"1";"N";"0.86";"10.51";"2.18";"0.72";"0.72";"2";"MOL";"0";"21";"6";"1";"0";"302.0837";"-0.91";"NEUTRAL";"C14H14N4O2S";"C[C@@H]1CNS(=O)(=O)N(c2ccc3c(C#N)nccc3c2)C1";"ZKAVFOXYJCREBQ-SNVBAGLBSA-N"
"CHEMBL2111095";"IOFLUBENZAMIDE";"MIP-1145";"Small molecule";"1.0";"513.35";"";"";"3.76";"70.67";"4";"2";"1";"9";"N";"0.50";"13.63";"9.04";"3.79";"2.14";"2";"MOL";"0";"29";"6";"2";"1";"513.0925";"-1.58";"BASE";"C21H25FIN3O3";"CCN(CC)CCNC(=O)c1cc(I)c(NC(=O)c2ccc(F)cc2)cc1OC";"UPRRZQGAQRAODM-UHFFFAOYSA-N"
"CHEMBL275321";"GANTACURIUM CHLORIDE";"AV-4430A|GANTACURIUM CHLORIDE|GW-280430|GW-280430A|GW280430A";"Small molecule";"1.0";"1064.49";"3";"28";"7.84";"144.90";"14";"0";"3";"23";"N";"0.03";"None";"None";"-1.25";"-1.25";"4";"MOL";"0";"70";"16";"0";"3";"992.4426";"0.51";"NEUTRAL";"C53H69Cl3N2O14";"COc1cc2c(cc1OC)[C@H](c1cc(OC)c(OC)c(OC)c1)[N@@+](C)(CCCOC(=O)/C=C(\Cl)C(=O)OCCC[N@+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2.[Cl-].[Cl-]";"SDIFKXLSGXCGEN-WJUBNSBASA-L"
"CHEMBL1187120";"BL-1021";"";"Small molecule";"1.0";"348.49";"";"";"3.80";"46.33";"2";"1";"0";"6";"N";"0.86";"None";"9.99";"3.64";"1.18";"2";"MOL";"0";"26";"3";"2";"0";"348.2202";"-0.24";"BASE";"C23H28N2O";"CN(CCC=C1c2ccccc2CCc2ccccc21)C(=O)CCCN";"DOIAVGICIXNFIH-UHFFFAOYSA-N"
"CHEMBL4650304";"PF-07059013";"PF-07059013";"Small molecule";"1.0";"365.37";"9";"20";"2.97";"98.82";"6";"2";"0";"4";"N";"0.58";"10.07";"4.76";"1.98";"1.98";"4";"MOL";"0";"27";"7";"3";"0";"365.1288";"-1.53";"NEUTRAL";"C19H16FN5O2";"C[C@H](Oc1cc2cc(F)ccc2nc1N)c1[nH]c(=O)ccc1-n1cccn1";"CLEFVPILGAPOTG-NSHDSACASA-N"
"CHEMBL2024212";"GSK-625433";"GSK-625433";"Small molecule";"1.0";"512.63";"1";"2";"4.02";"106.78";"8";"1";"1";"8";"N";"0.49";"3.64";"2.59";"3.06";"-0.01";"3";"MOL";"0";"36";"9";"1";"1";"512.2093";"-0.65";"ACID";"C26H32N4O5S";"COC[C@H]1C[C@@](Cn2cccn2)(C(=O)O)N(C(=O)c2ccc(C(C)(C)C)c(OC)c2)[C@H]1c1nccs1";"HLQXYDHLDZTWDW-KAWPREARSA-N"
"CHEMBL146673";"(NORTH)-METHANOCARBATHYMIDINE";"(NORTH)-METHANOCARBATHYMIDINE|N-MCT|N-METHANOCARBATHYMIDINE|NORTH-METHANOCARBATHYMIDINE";"Small molecule";"1.0";"252.27";"7";"27";"-0.85";"95.32";"5";"3";"0";"2";"N";"0.64";"10.01";"None";"-1.42";"-1.42";"1";"MOL";"0";"18";"6";"3";"0";"252.1110";"1.20";"NEUTRAL";"C12H16N2O4";"Cc1cn([C@H]2C[C@H](O)[C@]3(CO)C[C@H]23)c(=O)[nH]c1=O";"NOWRLNPOENZFHP-ARHDFHRDSA-N"
